pr_number,total_commits,human_commits,bot_commits,agent_commits,pattern,contributors,pr_title,pr_created_at,pr_merged_at,error
8005,7,4,0,3,hybrid,"human, agent",Patch release for OpenHands Cloud ,2025-04-22 13:10:03+00:00,,
8003,8,4,0,4,hybrid,"human, agent",Add RateLimitError and handle rate limiting in GitLab and GitHub services,2025-04-22 06:31:56+00:00,2025-04-22 16:30:41+00:00,
8001,6,6,0,0,human_only,human,(Chore): Rm legacy resolver code,2025-04-22 03:23:00+00:00,2025-04-23 15:34:04+00:00,
8000,2,2,0,0,human_only,human,[Fix]: fetch latest token when existing token doesn't exist,2025-04-22 02:58:52+00:00,2025-04-22 03:22:48+00:00,
7999,12,7,0,5,hybrid,"human, agent",[Refactor]: Abstract resolver into classes ,2025-04-22 02:30:10+00:00,2025-04-27 22:52:53+00:00,
7998,16,7,0,9,hybrid,"human, agent",Add OpenAPI spec to Docusaurus documentation,2025-04-21 21:41:47+00:00,2025-04-24 17:19:33+00:00,
7997,2,2,0,0,human_only,human,Fix and simplify local runtime init,2025-04-21 21:33:14+00:00,2025-04-21 22:24:22+00:00,
7996,6,4,0,2,hybrid,"human, agent",Add HTTP method option to Git service fetch_data functions,2025-04-21 21:01:11+00:00,2025-04-21 22:15:05+00:00,
7994,3,0,0,3,agent_only,agent,Fix issue #7869: Prevent agent from running commands before setup.sh completes,2025-04-21 20:10:14+00:00,,
7992,9,5,0,4,hybrid,"human, agent",Add OpenAPI specification for the API,2025-04-21 20:03:55+00:00,,
7991,3,3,0,0,human_only,human,Quick fix local runtime,2025-04-21 19:57:02+00:00,2025-04-21 20:28:30+00:00,
7989,1,1,0,0,human_only,human,[Feat]: Add branch naming convention,2025-04-21 18:23:22+00:00,2025-04-21 18:35:16+00:00,
7988,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 6 updates,2025-04-21 18:18:20+00:00,,
7987,14,8,0,6,hybrid,"human, agent",refactor: file viewer server so it is accessible via localhost without authentication,2025-04-21 18:05:00+00:00,2025-04-21 22:12:07+00:00,
7985,2,1,0,1,hybrid,"human, agent",[DO NOT MERGE]: Add diagnostic logging to EventStream,2025-04-21 17:28:18+00:00,,
7984,2,1,0,1,hybrid,"human, agent",Fix dictionary changed size during iteration error in EventStream,2025-04-21 17:06:43+00:00,2025-04-21 20:21:30+00:00,
7982,2,1,1,0,hybrid,"bot, human",chore(deps): bump useblacksmith/build-push-action from 1 to 6,2025-04-21 15:51:40+00:00,,
7981,1,1,0,0,human_only,human,Minor refactoring: remove step and task-creation in AgentController,2025-04-21 15:46:50+00:00,2025-04-21 17:28:23+00:00,
7980,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 7 updates,2025-04-21 15:33:55+00:00,2025-04-21 17:14:58+00:00,
7979,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group in /frontend with 6 updates,2025-04-21 15:31:41+00:00,,
7978,5,5,0,0,human_only,human,Update Microagents documentation,2025-04-21 15:26:04+00:00,2025-04-25 20:52:55+00:00,
7977,2,2,0,0,human_only,human,[Fix]: Building runtime image with unspecified base container img ,2025-04-21 15:09:05+00:00,2025-04-21 15:30:23+00:00,
7975,3,3,0,0,human_only,human,(Chore): Unsupport resolve all issues in resolver,2025-04-21 13:48:13+00:00,2025-04-21 14:37:53+00:00,
7974,2,0,0,2,agent_only,agent,Docs/fork maintenance guide,2025-04-21 13:03:31+00:00,,
7973,2,0,0,2,agent_only,agent,Add LLMAgentCacheCondenser implementation,2025-04-21 12:56:14+00:00,,
7971,2,2,0,0,human_only,human,fix: Fixed 400 of empty text on Gemini by replacing it with a whitespace character,2025-04-21 11:47:14+00:00,,
7970,3,0,0,3,agent_only,agent,"fix(Core): Some Exceptions did not set the agent to ""Rate Limited""",2025-04-21 09:38:42+00:00,,
7967,10,8,0,2,hybrid,"human, agent",[Fix]: Dedup token verification logic in resolver,2025-04-21 00:27:18+00:00,2025-04-21 20:34:29+00:00,
7966,5,4,0,1,hybrid,"human, agent",fix: skip authentication for localhost requests to fix pdf reading on oh-cloud,2025-04-20 22:21:24+00:00,,
7965,2,2,0,0,human_only,human,Fix linting,2025-04-20 21:39:43+00:00,2025-04-20 22:34:40+00:00,
7964,1,1,0,0,human_only,human,"Fix issue with ""default"" in tool schema for gemini-preview",2025-04-20 21:31:42+00:00,2025-04-21 19:21:33+00:00,
7961,2,2,0,0,human_only,human,Bugfixes: MCPConfig Attribute error and always using default prompt templates,2025-04-20 20:43:20+00:00,,
7959,30,29,0,1,hybrid,"human, agent",[NOT FOR MERGE] Planning agent test,2025-04-20 09:55:23+00:00,,
7956,1,0,0,1,agent_only,agent,fix: Use SANDBOX_BASE_CONTAINER_IMAGE in resolver workflow,2025-04-20 02:02:31+00:00,2025-04-22 14:15:49+00:00,
7955,5,0,0,5,agent_only,agent,feat: Use effective token in resolver workflow steps,2025-04-20 01:58:11+00:00,,
7954,4,3,0,1,hybrid,"human, agent",[Fix]: Replace duplicate enums for providers in resolver,2025-04-20 00:21:29+00:00,2025-04-20 18:06:19+00:00,
7953,4,3,0,1,hybrid,"human, agent",[Fix]: mismatch between repo object definition between FE and BE,2025-04-19 21:17:18+00:00,2025-04-20 00:28:10+00:00,
7951,6,6,0,0,human_only,human,Possibility to disable default tools,2025-04-19 16:25:34+00:00,2025-04-20 00:14:47+00:00,
7950,8,8,0,0,human_only,human,Fix Cleanup unused code of the file_editor,2025-04-19 08:59:19+00:00,,
7949,2,2,0,0,human_only,human,Cleanup unused code of the file_editor in Agent Skills,2025-04-19 07:16:29+00:00,,
7948,1,0,0,1,agent_only,agent,Fix issue #7947: [Bug]: Resolver is down on main due to improper action serialization,2025-04-19 01:13:03+00:00,,
7946,1,1,0,0,human_only,human,Add external auth id to `/repos` route,2025-04-18 21:43:17+00:00,2025-04-18 22:19:37+00:00,
7945,2,2,0,0,human_only,human,(Chore): Rm deprecate `/installations` route,2025-04-18 21:39:33+00:00,2025-04-18 21:51:08+00:00,
7944,1,1,0,0,human_only,human,"chore: improve logging for ""not a git repository""",2025-04-18 21:38:34+00:00,2025-04-21 12:13:48+00:00,
7943,1,0,0,1,agent_only,agent,Fix #7916: Update Benchmark Score link in README,2025-04-18 21:29:49+00:00,2025-04-18 22:27:54+00:00,
7942,29,15,0,14,hybrid,"human, agent",[Refactor]: Abstract resolver into classes,2025-04-18 21:27:43+00:00,,
7941,1,1,0,0,human_only,human,[Logging]: Add warning logs for gitlab api ,2025-04-18 21:19:18+00:00,2025-04-18 21:31:37+00:00,
7939,15,13,0,2,hybrid,"human, agent",Fix Github Enterprise GraphQL URL,2025-04-18 20:48:20+00:00,2025-04-19 21:09:00+00:00,
7938,1,1,0,0,human_only,human,chore: track condeser metadata for llm completion,2025-04-18 20:31:01+00:00,2025-04-18 21:05:31+00:00,
7937,2,2,0,0,human_only,human,Add public vs private info for repo list,2025-04-18 20:22:38+00:00,2025-04-18 21:07:08+00:00,
7936,22,18,2,2,hybrid,"bot, human, agent","Possibility to disable cmd, finish, editor and think tools",2025-04-18 18:20:12+00:00,,
7935,30,9,0,21,hybrid,"human, agent",Add agent_class to SystemMessageAction and display in frontend,2025-04-18 18:15:56+00:00,2025-04-21 18:08:15+00:00,
7934,6,5,0,1,hybrid,"human, agent",fix(resolver): Allow using github.token in Actions and fix base_domain handling,2025-04-18 17:47:23+00:00,2025-04-18 20:51:00+00:00,
7933,1,1,0,0,human_only,human,chore: make sure Makefile `make lint` also lint tests,2025-04-18 17:46:51+00:00,2025-04-18 18:01:36+00:00,
7932,1,1,0,0,human_only,human,[Feat]: Improve resolver inline pr comment localization,2025-04-18 17:43:08+00:00,2025-04-18 19:56:34+00:00,
7930,1,1,0,0,human_only,human,fix(eval): typo in SWE_Bench evaluation,2025-04-18 16:05:58+00:00,2025-04-18 16:31:08+00:00,
7929,30,30,0,0,human_only,human,chore(frontend): Breakdown settings screen,2025-04-18 15:48:59+00:00,2025-04-28 18:32:28+00:00,
7927,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 7 updates,2025-04-18 14:44:53+00:00,2025-04-18 15:02:42+00:00,
7926,1,1,0,0,human_only,human,Refactor agent loop initialization for better extensibility,2025-04-18 14:35:28+00:00,2025-04-18 15:44:34+00:00,
7925,2,1,1,0,hybrid,"bot, human",chore(deps): bump the version-all group across 1 directory with 20 updates,2025-04-18 14:30:39+00:00,2025-04-18 16:08:35+00:00,
7923,11,10,0,1,hybrid,"human, agent",Fix #7286: Load selected_repository from conversation metadata,2025-04-18 14:24:30+00:00,,
7920,2,2,0,0,human_only,human,Bugfix: make extraction of poetry_venvs_path more robust,2025-04-18 13:56:49+00:00,2025-04-18 17:33:52+00:00,
7918,1,1,0,0,human_only,human,[chore] Just linting on swe-bench files,2025-04-18 13:14:53+00:00,2025-04-18 14:12:01+00:00,
7917,10,10,0,0,human_only,human,Refactor to clean up and move utility/legacy out of the agent,2025-04-18 12:35:22+00:00,2025-04-18 17:53:34+00:00,
7913,3,3,0,0,human_only,human,refactor(action_execution_client): rename function and add property,2025-04-17 21:12:16+00:00,2025-04-17 22:59:13+00:00,
7912,1,1,0,0,human_only,human,hotfix(backend): Exclude open PRs when fetching suggested tasks,2025-04-17 19:45:19+00:00,2025-04-17 23:00:05+00:00,
7911,30,8,0,22,hybrid,"human, agent","feat(MCP): MCP refactor, support stdio, and running MCP server in runtime",2025-04-17 18:52:35+00:00,2025-05-02 01:43:19+00:00,
7910,1,1,0,0,human_only,human,hotfix(forntend): Wait for runtime to start before fetching git changes for diff view,2025-04-17 18:44:39+00:00,2025-04-17 19:15:03+00:00,
7909,5,2,0,3,hybrid,"human, agent",Fix failing unit test on main,2025-04-17 18:08:18+00:00,2025-04-17 18:43:09+00:00,
7908,6,2,0,4,hybrid,"human, agent",Update translation from GitHub Settings to Git Settings,2025-04-17 17:49:05+00:00,2025-04-17 18:55:28+00:00,
7907,14,4,0,10,hybrid,"human, agent",Refactor metrics handling to include condenser metrics,2025-04-17 17:18:24+00:00,2025-04-17 23:08:35+00:00,
7905,1,1,0,0,human_only,human,Update documentation,2025-04-17 16:29:00+00:00,2025-04-17 21:43:18+00:00,
7904,12,6,0,6,hybrid,"human, agent",Initialize git repo in workspace when no GitHub repo is selected,2025-04-17 16:26:20+00:00,2025-04-21 22:34:42+00:00,
7903,16,6,0,10,hybrid,"human, agent",Restore terminal interactivity while keeping UI changes,2025-04-17 16:06:03+00:00,2025-04-17 19:42:03+00:00,
7902,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 9 updates,2025-04-17 15:26:33+00:00,2025-04-17 15:45:44+00:00,
7901,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group in /frontend with 14 updates,2025-04-17 14:56:25+00:00,,
7900,2,1,1,0,hybrid,"bot, human",chore(deps): bump the version-all group across 1 directory with 10 updates,2025-04-17 14:35:15+00:00,,
7898,9,9,0,0,human_only,human,[Feat] Support o3 and o4 mini,2025-04-17 13:48:43+00:00,2025-04-18 21:23:19+00:00,
7897,7,1,0,6,hybrid,"human, agent","Improved logging for agent controller, including pending action time",2025-04-17 12:37:16+00:00,2025-04-17 20:22:38+00:00,
7895,2,1,0,1,hybrid,"human, agent",GPT-41 instructions,2025-04-17 11:59:46+00:00,,
7893,30,2,0,28,hybrid,"human, agent",perf(condensation) Condenser that uses cache from agent - Prompt like LLMSummaryCondenser,2025-04-17 09:27:01+00:00,,
7892,1,1,0,0,human_only,human,fix(check-unlocalized-strings): make HTML tag test case-insens,2025-04-17 08:33:20+00:00,2025-04-17 12:26:49+00:00,
7891,18,12,0,6,hybrid,"human, agent",[Feat]: Custom secrets plumbing for BE,2025-04-16 23:28:51+00:00,2025-04-23 16:44:25+00:00,
7890,1,1,0,0,human_only,human,fix(metrics) Merge metrics of agent LLM and condenser LLM,2025-04-16 21:56:25+00:00,2025-04-17 17:15:14+00:00,
7889,1,1,0,0,human_only,human,[Fix]: Rm unnecessary provider token serializer,2025-04-16 21:28:39+00:00,2025-04-16 21:41:08+00:00,
7887,1,0,0,1,agent_only,agent,Enhance play/pause button with gray circle background,2025-04-16 19:25:05+00:00,,
7886,1,1,0,0,human_only,human,fix: Update folder security dialog styling,2025-04-16 18:16:12+00:00,2025-04-16 18:33:00+00:00,
7885,5,4,0,1,hybrid,"human, agent",Fix: Ensure consistent tab height when workspace tab is selected,2025-04-16 17:17:39+00:00,2025-04-16 17:54:51+00:00,
7884,1,1,0,0,human_only,human,Fix for error on close,2025-04-16 16:56:51+00:00,2025-04-16 17:13:59+00:00,
7883,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 2 updates,2025-04-16 14:55:59+00:00,,
7882,6,3,0,3,hybrid,"human, agent",Release 0.33.0,2025-04-16 13:57:25+00:00,2025-04-16 21:03:01+00:00,
7876,30,27,0,3,hybrid,"human, agent",Fix/remove print,2025-04-16 07:09:46+00:00,,
7875,7,5,0,2,hybrid,"human, agent",frontend: mark terminal tab as read-only with tooltip,2025-04-16 05:07:45+00:00,,
7874,30,17,1,12,hybrid,"bot, human, agent",Gitlab UI and workflow,2025-04-16 03:55:47+00:00,,
7873,1,1,0,0,human_only,human,microagent: Update github.md to avoid agent marking PR as ready for review,2025-04-16 03:40:00+00:00,2025-04-16 03:56:41+00:00,
7872,15,6,0,9,hybrid,"human, agent",frontend: fix terminal prompt and command styling,2025-04-16 03:29:21+00:00,2025-04-16 14:13:15+00:00,
7871,30,23,0,7,hybrid,"human, agent",[Refactor]: Collapse initial user message for cloud resolver,2025-04-16 03:03:57+00:00,2025-04-17 19:09:28+00:00,
7870,1,0,0,1,agent_only,agent,Add accepted_tos field to user settings,2025-04-15 20:34:00+00:00,,
7868,12,5,0,7,hybrid,"human, agent",[Refactor]: Modularize settings storage logic,2025-04-15 18:50:51+00:00,2025-04-16 17:30:13+00:00,
7867,9,9,0,0,human_only,human,feat: Combining condensers,2025-04-15 16:52:19+00:00,2025-04-16 13:09:13+00:00,
7866,20,18,0,2,hybrid,"human, agent",Add GPT-4.1 to function calling list,2025-04-15 15:53:28+00:00,2025-04-15 16:12:15+00:00,
7865,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 8 updates,2025-04-15 15:20:27+00:00,2025-04-15 15:40:04+00:00,
7864,1,1,0,0,human_only,human,[Evaluation] Fix KeyError when the instance failed prematurely,2025-04-15 15:07:51+00:00,2025-04-15 15:19:31+00:00,
7862,1,0,0,1,agent_only,agent,Fix issue #7860: [Bug]: Resolver fails using GitHub Actions token in `send_pull_request.py`,2025-04-15 10:49:51+00:00,,
7858,6,5,0,1,hybrid,"human, agent",Fix issue #6098: Prevent duplicate error message display in chat interface,2025-04-15 00:16:56+00:00,2025-04-15 12:21:24+00:00,
7856,3,0,0,3,agent_only,agent,Update repo microagent docs with frontend action handling information,2025-04-14 22:29:54+00:00,2025-04-16 14:27:31+00:00,
7855,1,1,0,0,human_only,human,disable visual browsing,2025-04-14 22:08:39+00:00,,
7854,1,1,0,0,human_only,human,Fix links in readme,2025-04-14 22:00:26+00:00,2025-04-14 22:27:25+00:00,
7853,2,2,0,0,human_only,human,[Refactor] Rename codeact_* agent options to simple name,2025-04-14 21:51:44+00:00,2025-04-14 22:14:13+00:00,
7852,3,1,0,2,hybrid,"human, agent",frontend: Display think action as action rather than text,2025-04-14 21:47:30+00:00,2025-04-15 01:09:16+00:00,
7851,5,4,0,1,hybrid,"human, agent",[Experiment] GPT-4.1 prompting,2025-04-14 21:10:43+00:00,,
7848,1,1,0,0,human_only,human,chore - remove dummy agent test,2025-04-14 17:24:43+00:00,2025-04-17 12:52:03+00:00,
7847,1,1,0,0,human_only,human,Update feature template to add note about adding reaction,2025-04-14 16:14:51+00:00,2025-04-14 17:56:04+00:00,
7846,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 10 updates,2025-04-14 14:55:36+00:00,2025-04-14 15:16:27+00:00,
7845,2,2,0,0,human_only,human,Update docs on why we use sandbox user,2025-04-14 14:42:12+00:00,2025-04-14 15:01:36+00:00,
7844,4,4,0,0,human_only,human,"Add OpenHands Cloud to README, other minor tweaks",2025-04-14 13:41:49+00:00,2025-04-14 14:01:52+00:00,
7843,30,29,0,1,hybrid,"human, agent",Feat/planning controller,2025-04-14 07:18:59+00:00,,
7839,3,3,0,0,human_only,human,[Feat]: Add graphql fetching for GitLab service cls,2025-04-13 02:57:41+00:00,2025-04-18 20:53:49+00:00,
7838,2,1,0,1,hybrid,"human, agent",Fix issue #7837: [Bug]: Unit tests for tool use support,2025-04-12 20:20:10+00:00,2025-04-14 13:45:37+00:00,
7834,4,1,0,3,hybrid,"human, agent",Fix issue #7830: Add support for Gemini preview model versions,2025-04-12 15:31:24+00:00,,
7833,1,0,0,1,agent_only,agent,Fix issue #7826: Chat input box is too small,2025-04-12 15:21:42+00:00,,
7828,1,1,0,0,human_only,human,[Fix]: Use better auth header for GitLab microagent,2025-04-11 23:24:43+00:00,2025-04-12 00:09:28+00:00,
7827,2,0,0,2,agent_only,agent,Fix issue #7826: [Bug]: Chat input box is too small,2025-04-11 23:00:36+00:00,2025-04-14 17:19:38+00:00,
7825,4,4,0,0,human_only,human,fix(backend): Return 400 if trying to open a binary file,2025-04-11 22:02:29+00:00,2025-04-11 22:47:58+00:00,
7824,30,8,0,22,hybrid,"human, agent",Refactor system message handling to use event stream,2025-04-11 21:46:36+00:00,2025-04-17 14:30:20+00:00,
7822,1,0,0,1,agent_only,agent,Fix headless mode error by removing SANDBOX_USER_ID,2025-04-11 18:41:05+00:00,,
7821,4,3,0,1,hybrid,"human, agent",(Chore): Rm single provider legacy code,2025-04-11 17:56:05+00:00,2025-04-11 18:21:35+00:00,
7820,30,29,0,1,hybrid,"human, agent",refactor(mcp): simplify MCP config & fix timeout,2025-04-11 17:35:46+00:00,2025-04-16 03:04:21+00:00,
7819,1,1,0,0,human_only,human,[evaluation] fix missing  metadata,2025-04-11 16:46:57+00:00,2025-04-11 16:58:59+00:00,
7818,1,1,0,0,human_only,human,chore: Improve pre-commit,2025-04-11 16:39:30+00:00,2025-04-11 16:55:26+00:00,
7817,1,1,0,0,human_only,human,"Revert ""chore - User docker cache mount for vscode server archive (#7…",2025-04-11 15:53:01+00:00,2025-04-11 16:04:51+00:00,
7816,6,6,0,0,human_only,human,chore: Fix pre-commit and CI for FE jobs,2025-04-11 15:42:21+00:00,,
7815,15,3,0,12,hybrid,"human, agent",Simplify metrics implementation by removing redundant metrics in action events,2025-04-11 15:16:34+00:00,,
7814,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 5 updates,2025-04-11 14:36:00+00:00,2025-04-11 15:06:59+00:00,
7813,30,24,0,6,hybrid,"human, agent",Feat/rebrand,2025-04-11 14:16:23+00:00,,
7812,5,5,0,0,human_only,human,Fix for race condition in cache,2025-04-11 14:12:32+00:00,2025-04-12 13:43:34+00:00,
7811,12,12,0,0,human_only,human,Jetbrains CI Benchmark,2025-04-11 13:28:04+00:00,2025-04-17 15:10:20+00:00,
7810,8,8,0,0,human_only,human,Upgrade `openhands-aci` to 0.2.10,2025-04-11 10:31:18+00:00,2025-04-15 11:43:44+00:00,
7809,4,4,0,0,human_only,human,chore - Rebuild docker image in fork CI instead of using artifacts,2025-04-11 06:33:43+00:00,2025-04-11 16:06:46+00:00,
7808,1,1,0,0,human_only,human,mistake use default runner,2025-04-11 04:44:02+00:00,,
7807,2,2,0,0,human_only,human,update,2025-04-11 03:09:49+00:00,,
7806,1,0,0,1,agent_only,agent,Fix event ordering in EventStore cache,2025-04-11 01:36:01+00:00,,
7805,7,6,0,1,hybrid,"human, agent",Update documentation on local-llms,2025-04-10 23:54:57+00:00,2025-04-21 00:20:14+00:00,
7804,1,1,0,0,human_only,human,move typecheck,2025-04-10 21:15:20+00:00,2025-04-10 21:37:14+00:00,
7803,4,0,0,4,agent_only,agent,Fix: Display accumulated token usage in frontend metrics,2025-04-10 20:58:07+00:00,2025-04-11 14:38:47+00:00,
7802,1,1,0,0,human_only,human,fix for status messages not showing up,2025-04-10 20:25:09+00:00,2025-04-10 21:16:33+00:00,
7801,14,13,0,1,hybrid,"human, agent","feat: CLI enhancements to support /init, /help and /exit",2025-04-10 20:25:04+00:00,2025-04-11 18:13:42+00:00,
7800,1,1,0,0,human_only,human,Fixes spurious triggering of advanced mode caused by model case mismatch,2025-04-10 19:47:50+00:00,,
7799,1,0,0,1,agent_only,agent,Fix status bar to show latest status message in STOPPED state,2025-04-10 19:16:40+00:00,,
7798,2,0,0,2,agent_only,agent,Fix chat background on mobile devices,2025-04-10 18:51:30+00:00,2025-04-10 19:40:44+00:00,
7796,2,2,0,0,human_only,human,chore - Add more workers to speed up runtime CI tests,2025-04-10 17:09:17+00:00,2025-04-10 19:10:29+00:00,
7795,30,9,0,21,hybrid,"human, agent","Convert terminal to tab, make terminal read only",2025-04-10 17:02:58+00:00,2025-04-16 03:22:52+00:00,
7794,3,1,0,2,hybrid,"human, agent",Update OpenHands cloud docs with conversation persistence section,2025-04-10 16:35:44+00:00,2025-04-10 18:10:20+00:00,
7792,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 8 updates,2025-04-10 15:04:53+00:00,2025-04-10 17:22:16+00:00,
7791,1,1,0,0,human_only,human,"fix occurrences of MicroAgent to the standard ""Microagent""",2025-04-10 14:53:28+00:00,2025-04-10 15:23:19+00:00,
7790,1,0,1,0,bot_only,bot,chore(deps-dev): bump the eslint group across 1 directory with 2 updates,2025-04-10 14:37:09+00:00,2025-04-16 15:41:26+00:00,
7788,6,6,0,0,human_only,human,fix:Transmitting accurate head parameter in cross-repository pull requests.,2025-04-10 07:53:02+00:00,2025-04-14 17:57:15+00:00,
7787,29,19,1,9,hybrid,"bot, human, agent",Change client name and add IDP hint,2025-04-10 07:01:35+00:00,2025-04-17 16:23:12+00:00,
7786,3,3,0,0,human_only,human,chore - Do not install playwright in CI build steps,2025-04-10 04:45:31+00:00,2025-04-10 16:55:02+00:00,
7785,9,9,0,0,human_only,human,chore - User docker cache mount for vscode server archive,2025-04-10 03:00:53+00:00,2025-04-10 21:31:21+00:00,
7784,30,30,0,0,human_only,human,chore: Better home screen,2025-04-09 21:21:43+00:00,2025-04-22 13:15:41+00:00,
7783,1,1,0,0,human_only,human,fix i18n script,2025-04-09 20:04:15+00:00,2025-04-09 20:45:11+00:00,
7782,14,14,0,0,human_only,human,fix(llm): ensure base_url has protocol prefix for model info fetch when using LiteLLM,2025-04-09 19:32:59+00:00,2025-04-10 16:10:06+00:00,
7781,10,9,0,1,hybrid,"human, agent",fix: Disable prompt caching in default condenser,2025-04-09 16:27:16+00:00,2025-04-11 16:09:23+00:00,
7780,1,1,0,0,human_only,human,Fix scrolling,2025-04-09 15:58:49+00:00,2025-04-09 16:35:30+00:00,
7779,2,1,1,0,hybrid,"bot, human",chore(deps-dev): bump typescript from 5.8.2 to 5.8.3 in /docs in the version-all group,2025-04-09 15:02:38+00:00,2025-04-09 21:21:13+00:00,
7778,1,0,1,0,bot_only,bot,chore(deps-dev): bump @tanstack/eslint-plugin-query from 5.72.1 to 5.72.2 in /frontend in the eslint group,2025-04-09 14:46:30+00:00,,
7777,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 5 updates,2025-04-09 14:44:33+00:00,2025-04-09 18:29:29+00:00,
7776,2,2,0,0,human_only,human,chore(frontend): Break down settngs components,2025-04-09 13:12:49+00:00,,
7775,1,0,0,1,agent_only,agent,Improve binary file handling and patch generation in SWE-bench evalua…,2025-04-09 12:48:49+00:00,,
7773,1,1,0,0,human_only,human,Change client name and add IDP hint,2025-04-09 04:41:56+00:00,,
7772,1,1,0,0,human_only,human,chore - Remove unneeded dependencies from main poetry,2025-04-09 04:02:38+00:00,2025-04-09 16:24:30+00:00,
7771,2,2,0,0,human_only,human,chore - Use blacksmith docker build with caching,2025-04-09 00:05:05+00:00,2025-04-09 13:50:09+00:00,
7770,30,13,0,17,hybrid,"human, agent","[WIP, agent] Experimental: using critic (i.e., PRM, value function) to improve agent quality",2025-04-08 23:03:29+00:00,,
7769,3,0,0,3,agent_only,agent,Add PostHog analytics tracking for new conversations,2025-04-08 21:13:56+00:00,,
7768,2,2,0,0,human_only,human,chore - Remove redundant cache saving from CI,2025-04-08 19:38:45+00:00,2025-04-08 21:11:17+00:00,
7766,9,9,0,0,human_only,human,Add support for self-hosted gitlab domain config,2025-04-08 17:52:24+00:00,,
7765,3,3,0,0,human_only,human,chore - Skip building Ubuntu runtime image on PR,2025-04-08 17:07:11+00:00,2025-04-08 20:02:25+00:00,
7763,6,5,0,1,hybrid,"human, agent",Fix frontend pre-commit and move unlocalized strings check to pre-commit hook,2025-04-08 16:15:21+00:00,2025-04-09 14:29:37+00:00,
7762,6,4,0,2,hybrid,"human, agent",Improve binary file handling and patch generation in SWE-bench evaluation,2025-04-08 15:40:52+00:00,2025-04-08 22:57:34+00:00,
7761,1,1,0,0,human_only,human,Release 0.32.0,2025-04-08 15:17:57+00:00,2025-04-10 12:45:04+00:00,
7759,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 4 updates,2025-04-08 14:32:34+00:00,2025-04-08 16:14:08+00:00,
7756,6,3,0,3,hybrid,"human, agent",Fix API version in the resolver,2025-04-08 01:25:03+00:00,2025-04-08 09:01:23+00:00,
7754,10,8,0,2,hybrid,"human, agent",Add base_domain parameter for GitHub Enterprise support,2025-04-07 22:09:28+00:00,2025-04-16 00:00:33+00:00,
7753,5,1,0,4,hybrid,"human, agent",refactor err details,2025-04-07 21:24:47+00:00,,
7750,1,1,0,0,human_only,human,Update llms.md to update recommended models,2025-04-07 19:06:50+00:00,2025-04-07 20:29:44+00:00,
7748,30,24,0,6,hybrid,"human, agent","[Experiment] Gemini - API error tolerance, editing, prompting",2025-04-07 18:14:30+00:00,,
7747,1,1,0,0,human_only,human,Fix integration test,2025-04-07 18:08:45+00:00,2025-04-08 02:31:50+00:00,
7746,2,2,0,0,human_only,human,Enables condensation by default,2025-04-07 17:03:22+00:00,2025-04-07 17:47:51+00:00,
7745,2,0,0,2,agent_only,agent,Update conversation metadata with cost and token metrics,2025-04-07 16:47:23+00:00,,
7744,1,0,0,1,agent_only,agent,Merge SWE-bench improvements from MopenHands fork,2025-04-07 16:18:08+00:00,,
7743,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group with 7 updates,2025-04-07 16:14:30+00:00,2025-04-07 17:20:59+00:00,
7742,1,0,0,1,agent_only,agent,Merge changes from MopenHands fork,2025-04-07 16:08:47+00:00,,
7741,2,1,1,0,hybrid,"bot, human",chore(deps): bump the version-all group across 1 directory with 28 updates,2025-04-07 15:35:09+00:00,2025-04-09 14:39:21+00:00,
7740,1,1,0,0,human_only,human,Update issue templates,2025-04-07 15:34:21+00:00,2025-04-07 17:17:03+00:00,
7739,30,25,0,5,hybrid,"human, agent",fix(eval): iterative evaluation improvements; SWE-Bench multimodal fixes,2025-04-07 15:21:33+00:00,2025-04-08 18:44:04+00:00,
7737,8,4,0,4,hybrid,"human, agent",Fix issue #7147: Document Logging,2025-04-07 12:19:55+00:00,,
7733,1,1,0,0,human_only,human,fix(test) test_memory: initialize in fixture with new dict.,2025-04-06 20:39:28+00:00,2025-04-06 21:52:14+00:00,
7732,30,21,0,9,hybrid,"human, agent",Add extensive typing to openhands/security directory,2025-04-06 20:26:29+00:00,2025-04-08 13:51:05+00:00,
7731,30,20,0,10,hybrid,"human, agent",Add extensive typing to controller directory,2025-04-06 20:06:14+00:00,2025-04-23 15:33:17+00:00,
7730,24,20,0,4,hybrid,"human, agent",Add more extensive typing to openhands/integrations directory,2025-04-06 20:02:56+00:00,2025-04-08 14:54:07+00:00,
